Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered_oh1,Weight_in_gms,Product_importance_labeled,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Gender_F,Gender_M,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,is_shipping_late
55,2,5,246,5,19.0,2437,0,0,0,0,0,1,0,1,0,0,1,1
56,3,3,238,3,19.0,3096,0,1,0,0,0,0,1,0,0,0,1,1
57,3,3,193,3,19.0,3453,1,0,1,0,0,0,1,0,0,0,1,1
58,5,5,141,3,19.0,1367,2,0,0,1,0,0,0,1,0,0,1,1
59,4,1,150,3,17.0,1923,2,0,0,0,0,1,1,0,0,0,1,1
60,3,1,221,3,19.0,2794,0,0,0,0,1,0,1,0,0,0,1,1
61,3,3,179,3,19.0,1158,1,0,0,0,0,1,0,1,0,0,1,1
62,5,1,105,6,19.0,1292,1,1,0,0,0,0,0,1,0,0,1,1
63,3,1,177,3,19.0,1880,1,0,1,0,0,0,0,1,0,0,1,1
64,4,5,261,2,19.0,3045,2,0,0,1,0,0,0,1,0,0,1,1
65,3,2,202,3,19.0,2881,0,0,0,0,0,1,0,1,0,0,1,1
66,3,2,109,3,15.0,1710,1,0,0,0,1,0,1,0,0,0,1,1
67,3,3,158,3,6.0,1878,0,0,0,0,0,1,1,0,0,0,1,1
68,4,2,231,4,6.0,2512,1,1,0,0,0,0,1,0,0,0,1,1
69,3,5,206,3,19.0,2929,1,0,1,0,0,0,0,1,0,0,1,1
70,5,1,187,4,14.0,3849,2,0,0,1,0,0,0,1,0,0,1,1
71,5,5,230,2,2.0,2229,0,0,0,0,0,1,1,0,0,0,1,1
72,5,5,232,3,19.0,2998,1,0,0,0,1,0,1,0,0,0,1,1
73,4,5,215,3,19.0,3984,1,0,0,0,0,1,1,0,0,0,1,1
74,6,1,238,6,13.0,2442,0,1,0,0,0,0,1,0,0,0,1,1
75,4,1,266,3,19.0,3775,0,0,1,0,0,0,1,0,0,0,1,1
76,2,3,158,2,19.0,1788,1,0,0,1,0,0,1,0,0,0,1,1
77,3,3,113,3,19.0,1518,0,0,0,0,0,1,1,0,0,0,1,1
78,3,4,223,3,18.0,3959,0,0,0,0,1,0,0,1,0,0,1,1
79,3,5,257,2,19.0,3711,1,0,0,0,0,1,1,0,0,0,1,1
80,3,4,180,2,19.0,1942,1,1,0,0,0,0,1,0,0,0,1,1
81,2,5,132,3,18.0,1759,0,0,1,0,0,0,0,1,0,0,1,1
82,4,4,217,3,19.0,2875,2,0,0,1,0,0,1,0,0,0,1,1
83,5,5,162,3,19.0,1364,2,0,0,0,0,1,1,0,0,0,1,1
84,4,5,197,2,19.0,2710,1,0,0,0,1,0,1,0,0,0,1,1
85,3,4,197,3,13.0,2148,1,0,0,0,0,1,0,1,0,0,1,1
86,4,1,185,2,19.0,2910,0,1,0,0,0,0,0,1,0,0,1,1
87,6,2,278,3,3.0,2974,1,0,1,0,0,0,1,0,0,0,1,1
88,3,3,229,3,19.0,2339,0,0,0,1,0,0,0,1,0,0,1,1
89,4,1,186,4,19.0,3880,1,0,0,0,0,1,1,0,0,0,1,1
90,5,3,174,6,19.0,1085,2,0,0,0,1,0,1,0,0,0,1,1
91,5,5,286,3,18.0,3163,0,0,0,0,0,1,1,0,0,0,1,1
92,4,4,175,2,7.0,1188,1,1,0,0,0,0,1,0,0,0,1,1
93,3,3,219,3,17.0,3387,1,0,1,0,0,0,1,0,0,0,1,1
94,4,1,213,4,19.0,2343,2,0,0,1,0,0,1,0,0,0,1,1
95,2,3,235,3,19.0,2034,0,0,0,0,0,1,0,1,0,0,1,1
96,3,3,149,2,18.0,1225,1,0,0,0,1,0,0,1,0,0,1,1
97,4,1,271,2,8.0,2401,1,0,0,0,0,1,1,0,0,0,1,1
98,3,5,144,4,5.0,1104,1,1,0,0,0,0,0,1,0,0,1,1
99,4,2,145,2,19.0,1617,1,0,1,0,0,0,0,1,0,0,1,1
100,5,3,143,2,19.0,1837,1,0,0,1,0,0,0,1,0,0,1,1
101,5,5,227,4,19.0,2624,0,0,0,0,0,1,0,1,0,0,1,1
102,2,1,213,3,19.0,2732,0,0,0,0,1,0,0,1,0,0,1,1
103,5,1,144,4,19.0,1658,0,0,0,0,0,1,0,1,0,0,1,1
104,3,3,218,3,3.0,2255,0,1,0,0,0,0,0,1,0,0,1,1
105,4,2,144,3,19.0,1588,1,0,1,0,0,0,0,1,0,0,1,1
106,3,1,238,3,17.0,2624,0,0,0,1,0,0,0,1,0,0,1,1
107,4,5,216,3,19.0,2053,2,0,0,0,0,1,0,1,0,0,1,1
108,4,5,238,3,19.0,3257,2,0,0,0,1,0,1,0,0,0,1,1
109,4,1,141,3,19.0,1250,1,0,0,0,0,1,0,1,0,0,1,1
110,3,1,158,2,2.0,1284,0,1,0,0,0,0,0,1,0,1,0,1
111,4,2,239,3,19.0,3679,0,0,1,0,0,0,1,0,0,1,0,1
112,4,3,175,2,19.0,1816,0,0,0,1,0,0,0,1,0,1,0,1
113,3,2,263,3,19.0,2817,0,0,0,0,0,1,0,1,0,1,0,1
114,3,5,168,2,19.0,1616,2,0,0,0,1,0,0,1,0,1,0,1
115,3,4,176,3,19.0,1779,2,0,0,0,0,1,0,1,0,1,0,1
116,4,1,150,4,19.0,1024,2,1,0,0,0,0,0,1,0,1,0,1
117,4,3,265,2,19.0,2326,1,0,1,0,0,0,1,0,0,1,0,1
118,2,5,263,3,5.0,2947,0,0,0,1,0,0,1,0,0,1,0,1
119,5,1,145,3,19.0,1387,0,0,0,0,0,1,0,1,0,1,0,1
120,4,2,183,3,19.0,2741,0,0,0,0,1,0,1,0,0,1,0,1
121,3,3,205,3,19.0,2167,1,0,0,0,0,1,1,0,0,1,0,1
122,4,2,160,3,19.0,1714,0,1,0,0,0,0,0,1,0,1,0,1
123,3,3,252,2,19.0,2102,1,0,1,0,0,0,1,0,0,1,0,1
124,5,5,222,3,10.0,2280,0,0,0,1,0,0,0,1,0,1,0,1
125,3,3,203,2,19.0,3607,0,0,0,0,0,1,0,1,0,1,0,1
126,4,5,220,3,19.0,3516,1,0,0,0,1,0,0,1,0,1,0,1
127,3,3,147,4,19.0,1722,0,0,0,0,0,1,1,0,0,1,0,1
128,4,4,200,4,16.0,2060,1,1,0,0,0,0,0,1,0,1,0,1
129,4,5,224,4,19.0,2026,1,0,1,0,0,0,0,1,0,1,0,1
130,3,5,179,2,17.0,1364,0,0,0,1,0,0,1,0,0,1,0,1
131,3,4,144,3,19.0,1865,0,0,0,0,0,1,0,1,0,1,0,1
132,5,2,247,3,17.0,3889,0,0,0,0,1,0,0,1,1,0,0,1
133,5,4,280,6,19.0,3582,1,0,0,0,0,1,1,0,1,0,0,1
134,3,3,168,2,1.0,1829,1,1,0,0,0,0,1,0,1,0,0,1
135,3,5,157,3,4.0,1889,1,0,1,0,0,0,1,0,1,0,0,1
136,3,3,189,4,19.0,2208,1,0,0,1,0,0,1,0,1,0,0,1
137,3,5,162,2,7.0,1739,1,0,0,0,0,1,0,1,1,0,0,1
138,4,1,207,5,19.0,2399,0,0,0,0,1,0,0,1,1,0,0,1
139,5,1,237,2,10.0,3860,0,0,0,0,0,1,1,0,1,0,0,1
140,4,4,264,3,19.0,2020,2,1,0,0,0,0,0,1,1,0,0,1
141,5,4,149,3,19.0,1645,0,0,1,0,0,0,0,1,1,0,0,1
142,5,5,162,3,19.0,1462,0,0,0,1,0,0,0,1,1,0,0,1
143,2,1,205,4,19.0,2156,1,0,0,0,0,1,1,0,1,0,0,1
144,2,1,158,3,19.0,1540,1,0,0,0,1,0,1,0,1,0,0,1
145,2,2,248,2,19.0,3707,0,0,0,0,0,1,0,1,1,0,0,1
146,3,5,191,3,19.0,3750,0,1,0,0,0,0,0,1,1,0,0,1
147,4,3,146,4,19.0,1844,1,0,1,0,0,0,1,0,1,0,0,1
148,3,3,135,3,19.0,1490,0,0,0,1,0,0,0,1,1,0,0,1
149,5,1,149,3,19.0,1062,0,0,0,0,0,1,0,1,1,0,0,1
150,4,4,220,2,7.0,2551,1,0,0,0,1,0,1,0,1,0,0,1
151,5,3,98,5,19.0,1269,1,0,0,0,0,1,0,1,1,0,0,1
152,3,4,97,4,19.0,1238,0,1,0,0,0,0,0,1,1,0,0,1
153,3,3,183,2,19.0,3932,0,0,1,0,0,0,0,1,1,0,0,1
154,3,3,162,3,8.0,1869,1,0,0,1,0,0,1,0,0,0,1,1
155,5,1,114,4,19.0,1443,0,0,0,0,0,1,1,0,0,0,1,1
156,6,3,275,5,19.0,2491,0,0,0,0,1,0,0,1,0,0,1,1
157,3,2,203,2,19.0,3845,1,0,0,0,0,1,1,0,0,0,1,1
158,5,5,205,2,19.0,3671,2,1,0,0,0,0,0,1,0,0,1,1
159,3,3,149,3,19.0,1946,0,0,1,0,0,0,1,0,0,0,1,1
160,2,2,112,4,19.0,1138,1,0,0,1,0,0,0,1,0,0,1,1
161,3,1,207,3,19.0,3482,1,0,0,0,0,1,1,0,0,0,1,1
162,4,1,261,4,19.0,3427,0,0,0,0,1,0,1,0,0,0,1,1
163,5,2,274,3,6.0,3375,1,0,0,0,0,1,0,1,0,0,1,1
164,3,5,141,2,19.0,1692,0,1,0,0,0,0,0,1,0,0,1,1
165,3,3,166,4,17.0,1498,1,0,1,0,0,0,1,0,0,0,1,1
166,5,2,141,3,19.0,1020,2,0,0,1,0,0,1,0,0,0,1,1
167,4,5,152,3,19.0,1709,0,0,0,0,0,1,0,1,0,0,1,1
168,4,2,250,3,19.0,2478,0,0,0,0,1,0,1,0,0,0,1,1
169,4,3,161,3,19.0,1809,1,0,0,0,0,1,1,0,0,0,1,1
170,4,3,185,3,10.0,2263,1,1,0,0,0,0,1,0,0,0,1,1
171,4,4,176,4,19.0,1096,2,0,1,0,0,0,1,0,0,0,1,1
172,3,4,148,3,19.0,1550,0,0,0,1,0,0,0,1,0,0,1,1
173,3,2,270,3,19.0,2751,0,0,0,0,0,1,1,0,0,0,1,1
174,3,3,242,3,19.0,3935,0,0,0,0,1,0,1,0,0,0,1,1
175,4,4,150,2,3.0,1285,1,0,0,0,0,1,0,1,0,0,1,1
176,4,5,192,3,19.0,3872,2,1,0,0,0,0,0,1,0,0,1,1
177,4,5,116,3,19.0,1314,1,0,1,0,0,0,0,1,0,0,1,1
178,3,3,192,3,2.0,3995,1,0,0,1,0,0,1,0,0,0,1,1
179,5,5,255,4,3.0,3440,1,0,0,0,0,1,0,1,0,0,1,1
180,4,1,161,7,18.0,1294,1,0,0,0,1,0,1,0,0,0,1,1
181,4,5,157,3,19.0,1487,0,0,0,0,0,1,0,1,0,0,1,1
182,3,2,164,10,19.0,1940,2,1,0,0,0,0,1,0,0,0,1,1
183,3,5,162,7,16.0,1052,1,0,1,0,0,0,1,0,0,0,1,1
184,3,3,146,2,19.0,1486,0,0,0,1,0,0,0,1,0,0,1,1
185,3,2,209,3,19.0,3001,1,0,0,0,0,1,0,1,0,0,1,1
186,5,4,134,2,19.0,1386,1,0,0,0,1,0,1,0,0,0,1,1
187,2,1,222,2,5.0,3778,1,0,0,0,0,1,0,1,0,0,1,1
188,2,5,139,3,19.0,1233,0,1,0,0,0,0,1,0,0,0,1,1
189,2,4,134,3,19.0,1415,0,0,1,0,0,0,1,0,0,0,1,1
190,2,5,130,3,16.0,1092,0,0,0,1,0,0,0,1,0,0,1,1
191,2,5,133,3,19.0,1596,0,0,0,0,0,1,1,0,0,0,1,1
192,2,4,140,3,7.0,1411,0,0,0,0,1,0,1,0,0,0,1,1
193,2,2,158,3,19.0,1968,0,0,0,0,0,1,0,1,0,0,1,1
194,4,2,270,4,19.0,1736,0,1,0,0,0,0,1,0,0,0,1,1
195,2,5,140,3,19.0,1030,0,0,1,0,0,0,1,0,0,0,1,1
196,2,2,135,3,15.0,1339,0,0,0,1,0,0,0,1,0,0,1,1
197,2,3,136,3,19.0,1568,0,0,0,0,0,1,1,0,0,0,1,1
198,2,3,142,3,19.0,7640,1,0,0,0,1,0,1,0,0,0,1,1
199,2,2,154,3,19.0,7846,1,0,0,0,0,1,0,1,0,0,1,1
200,2,3,139,3,9.0,1471,0,1,0,0,0,0,0,1,0,0,1,1
201,2,3,160,3,19.0,1251,0,0,1,0,0,0,1,0,0,0,1,1
202,2,4,134,3,19.0,1067,0,0,0,1,0,0,0,1,0,0,1,1
203,5,3,161,5,19.0,1883,2,0,0,0,0,1,0,1,0,0,1,1
204,2,5,155,3,19.0,1602,0,0,0,0,1,0,0,1,0,0,1,1
205,2,3,145,3,19.0,7588,1,0,0,0,0,1,1,0,0,0,1,1
206,2,2,157,3,1.0,1477,0,1,0,0,0,0,0,1,0,0,1,1
207,2,2,160,3,19.0,1691,0,0,1,0,0,0,0,1,0,0,1,1
208,2,4,152,3,19.0,1498,0,0,0,1,0,0,0,1,0,0,1,1
209,2,5,148,3,11.0,1502,2,0,0,0,0,1,1,0,0,0,1,1
210,2,1,127,3,15.0,1522,0,0,0,0,1,0,1,0,0,0,1,1
211,2,5,154,3,19.0,1113,0,0,0,0,0,1,1,0,0,0,1,1
212,2,5,127,3,19.0,1341,0,1,0,0,0,0,0,1,0,0,1,1
213,2,5,160,3,19.0,7401,1,0,1,0,0,0,1,0,0,0,1,1
214,2,4,129,3,19.0,1219,0,0,0,1,0,0,1,0,0,0,1,1
215,2,5,158,3,19.0,1722,0,0,0,0,0,1,1,0,0,0,1,1
216,4,3,185,3,3.0,3131,1,0,0,0,1,0,0,1,0,0,1,1
217,4,4,176,4,19.0,1293,2,0,0,0,0,1,1,0,0,0,1,1
218,3,4,148,3,19.0,1523,0,1,0,0,0,0,0,1,0,0,1,1
219,3,5,270,3,19.0,3885,0,0,1,0,0,0,0,1,0,0,1,1
220,3,4,242,3,19.0,2381,0,0,0,1,0,0,0,1,0,0,1,1
221,4,3,150,2,19.0,1588,1,0,0,0,0,1,0,1,0,0,1,1
222,4,2,192,3,4.0,2061,2,0,0,0,1,0,0,1,0,0,1,1
223,4,5,116,3,9.0,1314,1,0,0,0,0,1,1,0,0,0,1,1
224,3,4,192,3,19.0,3331,1,1,0,0,0,0,1,0,0,0,1,1
225,5,4,255,4,19.0,2771,1,0,1,0,0,0,1,0,0,0,1,1
226,4,3,161,7,19.0,1496,1,0,0,1,0,0,0,1,0,0,1,1
227,4,2,157,3,19.0,1393,0,0,0,0,0,1,1,0,0,0,1,1
228,3,2,164,10,14.0,1375,2,0,0,0,1,0,0,1,0,0,1,1
229,3,3,162,7,19.0,1278,1,0,0,0,0,1,1,0,0,0,1,1
230,3,1,146,2,19.0,1528,0,1,0,0,0,0,1,0,0,0,1,1
231,3,4,209,3,19.0,2240,1,0,1,0,0,0,1,0,0,0,1,1
232,5,5,134,2,19.0,1088,1,0,0,1,0,0,0,1,0,0,1,1
233,2,1,222,2,19.0,3626,1,0,0,0,0,1,0,1,0,0,1,1
234,2,1,139,3,19.0,1582,0,0,0,0,1,0,1,0,0,0,1,1
235,2,2,134,3,19.0,1352,0,0,0,0,0,1,0,1,0,0,1,1
236,2,3,130,3,19.0,1801,0,1,0,0,0,0,1,0,0,0,1,1
237,2,2,133,3,5.0,1268,0,0,1,0,0,0,0,1,0,0,1,1
238,2,3,140,3,19.0,1372,0,0,0,1,0,0,1,0,0,0,1,1
239,2,3,158,3,10.0,1515,0,0,0,0,0,1,0,1,0,0,1,1
240,4,5,270,4,19.0,1818,0,0,0,0,1,0,0,1,0,0,1,1
241,2,4,140,3,19.0,1278,0,0,0,0,0,1,1,0,0,0,1,1
242,2,2,135,3,19.0,1734,0,1,0,0,0,0,0,1,0,0,1,1
243,2,4,136,3,19.0,1958,0,0,1,0,0,0,0,1,0,0,1,1
244,2,1,142,3,8.0,6064,1,0,0,1,0,0,1,0,0,0,1,1
245,2,4,154,3,19.0,7684,1,0,0,0,0,1,1,0,0,0,1,1
246,2,3,139,3,3.0,1788,0,0,0,0,1,0,1,0,0,0,1,1
247,2,4,160,3,19.0,1030,0,0,0,0,0,1,1,0,0,1,0,1
248,2,2,134,3,19.0,1530,0,1,0,0,0,0,1,0,0,1,0,1
249,5,5,161,5,19.0,1511,2,0,1,0,0,0,1,0,0,1,0,1
250,2,3,155,3,19.0,1639,0,0,0,1,0,0,1,0,0,1,0,1
251,2,2,145,3,5.0,6102,1,0,0,0,0,1,1,0,0,1,0,1
252,2,1,157,3,19.0,1930,0,0,0,0,1,0,0,1,0,1,0,1
253,2,5,160,3,19.0,1399,0,0,0,0,0,1,1,0,0,1,0,1
254,2,2,152,3,19.0,1800,0,1,0,0,0,0,1,0,0,1,0,1
255,2,2,148,3,19.0,1349,2,0,1,0,0,0,1,0,0,1,0,1
256,2,2,127,3,13.0,1128,0,0,0,1,0,0,0,1,0,1,0,1
257,2,2,129,3,19.0,6614,1,0,0,0,0,1,1,0,0,1,0,1
258,2,3,158,3,13.0,1245,0,0,0,0,1,0,1,0,0,1,0,1
259,2,4,147,3,5.0,1920,0,0,0,0,0,1,0,1,0,1,0,1
260,2,5,159,3,19.0,1621,0,1,0,0,0,0,1,0,0,1,0,1
261,2,3,151,3,19.0,1930,0,0,1,0,0,0,1,0,0,1,0,1
262,3,1,294,4,19.0,1089,0,0,0,1,0,0,1,0,0,1,0,1
263,3,2,226,2,19.0,1446,1,0,0,0,0,1,0,1,0,1,0,1
264,5,3,271,5,9.0,1813,2,0,0,0,1,0,0,1,0,1,0,1
265,7,2,203,5,19.0,1856,1,0,0,0,0,1,1,0,0,1,0,1
266,2,3,264,4,10.0,1648,0,1,0,0,0,0,1,0,0,1,0,1
267,4,1,258,3,19.0,2211,1,0,1,0,0,0,0,1,0,1,0,1
268,3,5,241,3,19.0,3078,0,0,0,1,0,0,1,0,0,1,0,1
269,4,5,208,3,19.0,2056,1,0,0,0,0,1,0,1,1,0,0,1
270,3,2,209,5,12.0,3054,1,0,0,0,1,0,1,0,1,0,0,1
271,5,1,182,2,19.0,2707,1,0,0,0,0,1,1,0,1,0,0,1
272,4,5,148,2,19.0,1087,1,1,0,0,0,0,1,0,1,0,0,1
273,2,3,183,2,19.0,3199,1,0,1,0,0,0,1,0,1,0,0,1
274,3,5,229,6,19.0,2717,1,0,0,1,0,0,0,1,1,0,0,1
275,5,5,115,5,19.0,1692,0,0,0,0,0,1,1,0,1,0,0,1
276,4,2,136,3,19.0,1962,0,0,0,0,1,0,1,0,1,0,0,1
277,4,4,212,3,19.0,3307,0,0,0,0,0,1,0,1,1,0,0,1
278,4,3,171,3,19.0,1304,0,1,0,0,0,0,1,0,1,0,0,1
279,3,1,151,2,19.0,1925,0,0,1,0,0,0,0,1,1,0,0,1
280,3,1,205,3,19.0,3062,1,0,0,1,0,0,0,1,1,0,0,1
281,5,4,147,3,19.0,1132,1,0,0,0,0,1,0,1,1,0,0,1
282,3,3,155,3,19.0,1712,0,0,0,0,1,0,1,0,1,0,0,1
283,5,4,165,3,19.0,1150,0,0,0,0,0,1,1,0,1,0,0,1
284,5,5,230,3,19.0,3249,0,1,0,0,0,0,1,0,1,0,0,1
285,2,4,181,4,13.0,2309,1,0,1,0,0,0,0,1,1,0,0,1
286,5,3,234,2,19.0,3308,0,0,0,1,0,0,1,0,1,0,0,1
287,4,4,149,3,19.0,1977,0,0,0,0,0,1,0,1,1,0,0,1
288,5,5,156,2,19.0,1561,0,0,0,0,1,0,0,1,1,0,0,1
289,4,2,172,3,19.0,1858,1,0,0,0,0,1,1,0,1,0,0,1
290,4,4,270,3,12.0,3279,0,1,0,0,0,0,0,1,1,0,0,1
291,4,1,206,3,19.0,3807,1,0,1,0,0,0,0,1,0,0,1,1
292,4,3,211,4,19.0,3106,1,0,0,1,0,0,0,1,0,0,1,1
293,3,2,136,4,19.0,1090,0,0,0,0,0,1,0,1,0,0,1,1
294,5,1,186,2,19.0,3981,2,0,0,0,1,0,1,0,0,0,1,1
295,3,1,202,2,19.0,3398,1,0,0,0,0,1,0,1,0,0,1,1
296,4,2,183,3,12.0,3646,1,1,0,0,0,0,1,0,0,0,1,1
297,4,4,232,2,19.0,2861,0,0,1,0,0,0,0,1,0,0,1,1
298,4,2,147,4,19.0,1129,1,0,0,1,0,0,0,1,0,0,1,1
299,4,3,136,3,19.0,1531,1,0,0,0,0,1,0,1,0,0,1,1
300,5,3,127,3,19.0,1446,0,0,0,0,1,0,1,0,0,0,1,1
301,4,5,202,2,19.0,3695,1,0,0,0,0,1,0,1,0,0,1,1
302,3,4,241,2,19.0,3671,0,1,0,0,0,0,0,1,0,0,1,1
303,4,3,222,2,19.0,3833,1,0,1,0,0,0,0,1,0,0,1,1
304,3,2,183,4,12.0,2777,1,0,0,1,0,0,1,0,0,0,1,1
305,4,4,249,3,19.0,3769,1,0,0,0,0,1,1,0,0,0,1,1
306,3,1,243,4,19.0,3838,2,0,0,0,1,0,0,1,0,0,1,1
307,3,3,163,3,9.0,1257,1,0,0,0,0,1,0,1,0,0,1,1
308,4,2,165,2,11.0,1596,2,1,0,0,0,0,0,1,0,0,1,1
309,5,5,266,3,19.0,3089,1,0,1,0,0,0,1,0,0,0,1,1
310,3,4,193,2,19.0,3909,1,0,0,1,0,0,0,1,0,0,1,1
311,3,2,154,3,19.0,1136,0,0,0,0,0,1,1,0,0,0,1,1
312,3,3,140,3,19.0,1046,1,0,0,0,1,0,0,1,0,0,1,1
313,4,3,272,3,19.0,3705,1,0,0,0,0,1,0,1,0,0,1,1
314,4,2,143,6,19.0,1654,1,1,0,0,0,0,0,1,0,0,1,1
315,4,2,138,3,19.0,1805,0,0,1,0,0,0,1,0,0,0,1,1
316,4,2,238,2,17.0,3358,2,0,0,1,0,0,0,1,0,0,1,1
317,4,5,273,4,19.0,2373,1,0,0,0,0,1,1,0,0,0,1,1
318,3,1,200,2,19.0,2551,1,0,0,0,1,0,0,1,0,0,1,1
319,4,5,213,4,19.0,2381,0,0,0,0,0,1,0,1,0,0,1,1
320,3,4,224,2,15.0,2701,1,1,0,0,0,0,1,0,0,0,1,1
321,4,5,141,3,12.0,1672,1,0,1,0,0,0,0,1,0,0,1,1
322,3,3,150,3,19.0,1040,0,0,0,1,0,0,0,1,0,0,1,1
323,3,1,192,2,19.0,2818,0,0,0,0,0,1,0,1,0,0,1,1
324,5,1,279,4,19.0,3440,1,0,0,0,1,0,1,0,0,0,1,1
325,3,4,246,3,19.0,3748,1,0,0,0,0,1,0,1,0,0,1,1
326,3,4,173,3,19.0,1587,1,1,0,0,0,0,0,1,0,0,1,1
327,4,4,233,4,19.0,2358,1,0,1,0,0,0,1,0,0,0,1,1
328,5,1,274,2,19.0,2423,1,0,0,1,0,0,0,1,0,0,1,1
329,4,5,243,4,19.0,2782,1,0,0,0,0,1,1,0,0,0,1,1
330,3,4,197,3,19.0,3427,1,0,0,0,1,0,1,0,0,0,1,1
331,4,3,140,3,19.0,1072,2,0,0,0,0,1,1,0,0,0,1,1
